ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
871,2023,13,Leeds United,Fulham,0,1,0,2,3,1.6,1.8,57,43,Liam Cooper,4-2-3-1,14,5,16.3,0,0,0,Tim Ream,4-2-3-1,11,4,11.9,0,0,0,Anthony Taylor,2022-10-23,Sun,14:00
888,2023,15,Manchester City,Fulham,1,0,0,2,1,2.1,1.0,70,30,İlkay Gündoğan,4-3-3,15,4,18.1,1,1,1,Tim Ream,4-2-3-1,3,1,26.2,0,1,1,Darren England,2022-11-05,Sat,15:00
908,2023,17,Crystal Palace,Fulham,0,1,0,0,3,0.4,2.5,36,64,Joachim Andersen,4-3-3,4,0,13.0,0,0,0,Tim Ream,4-2-3-1,23,10,13.4,1,0,0,Andy Madley,2022-12-26,Mon,15:00
930,2023,19,Leicester City,Fulham,0,1,0,0,1,1.7,1.7,61,39,Youri Tielemans,4-2-3-1,15,6,18.9,1,0,0,Tim Ream,4-2-3-1,11,2,19.4,0,0,0,Darren Bond,2023-01-03,Tue,19:45
946,2023,20,Newcastle United,Fulham,1,0,0,1,0,2.2,1.1,62,38,Kieran Trippier,4-3-3,20,5,16.7,2,0,0,Tim Ream,4-2-3-1,4,0,18.9,0,0,1,Robert Jones,2023-01-15,Sun,14:00
960,2023,22,Chelsea,Fulham,0,0,1,0,0,1.3,0.6,66,34,Thiago Silva,4-3-3,12,2,17.0,0,0,0,Tim Ream,4-2-3-1,10,4,23.0,0,0,0,Stuart Attwell,2023-02-03,Fri,20:00
984,2023,24,Brighton And Hove Albion,Fulham,0,1,0,0,1,2.2,0.3,65,35,Lewis Dunk,4-2-3-1,21,7,15.6,1,0,0,Tim Ream,4-2-3-1,5,2,16.0,0,0,0,Darren England,2023-02-18,Sat,15:00
1011,2023,26,Brentford,Fulham,1,0,0,3,2,2.1,1.4,37,63,Christian Nørgaard,4-3-3,13,5,19.8,2,1,1,Tim Ream,4-2-3-1,9,5,17.4,1,0,0,Anthony Taylor,2023-03-06,Mon,20:00
1035,2023,29,Bournemouth,Fulham,1,0,0,2,1,2.6,0.8,43,57,Neto,4-4-1-1,12,6,12.5,0,0,0,Tim Ream,4-2-3-1,10,2,16.5,0,0,0,Peter Bankes,2023-04-01,Sat,15:00
1059,2023,31,Everton,Fulham,0,1,0,1,3,1.4,1.8,46,54,Jordan Pickford,4-4-2,15,7,17.1,0,0,0,Tim Ream,4-2-3-1,21,7,17.9,0,0,0,Anthony Taylor,2023-04-15,Sat,15:00
