ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
7,2021,1,Sheffield United,Wolverhampton Wanderers,0,1,0,0,2,1.0,1.4,55,45,Billy Sharp,3-5-2,9,1,0.1111111111111111,0.5,12.9,0,0,0,Conor Coady,3-4-3,11,4,0.3636363636363636,1.0,17.2,0,0,0,Mike Dean,2020-09-14,Mon,18:00
23,2021,3,Sheffield United,Leeds United,0,1,0,0,1,1.4,1.2,36,64,David McGoldrick,3-5-2,14,4,0.2857142857142857,0.875,16.7,0,0,0,Liam Cooper,3-1-4-2,17,8,0.4705882352941176,1.0,19.0,0,0,0,Paul Tierney,2020-09-27,Sun,12:00
43,2021,5,Sheffield United,Fulham,0,0,1,1,1,1.7,1.5,42,58,John Egan,3-5-2,9,5,0.5555555555555556,0.8333333333333334,20.1,0,1,1,Tom Cairney,3-4-3,14,6,0.4285714285714285,0.8,18.8,1,0,1,Andre Marriner,2020-10-18,Sun,12:00
60,2021,7,Sheffield United,Manchester City,0,1,0,0,1,0.5,1.6,35,65,John Egan,5-3-2,3,1,0.3333333333333333,0.875,18.3,0,0,0,Kevin De Bruyne,4-3-3,16,8,0.5,1.0,18.5,2,0,0,Michael Oliver,2020-10-31,Sat,12:30
84,2021,9,Sheffield United,West Ham United,0,1,0,0,1,0.9,2.1,51,49,John Egan,3-5-2,9,5,0.5555555555555556,0.6666666666666666,17.6,0,0,0,Declan Rice,3-4-3,15,3,0.2,1.0,12.3,0,0,0,Martin Atkinson,2020-11-22,Sun,14:00
104,2021,11,Sheffield United,Leicester City,0,1,0,1,2,0.2,1.4,31,69,John Egan,5-3-2,4,1,0.25,0.5,14.9,0,0,0,Kasper Schmeichel,3-4-3,13,4,0.3076923076923077,0.0,18.4,1,0,0,Stuart Attwell,2020-12-06,Sun,14:15
127,2021,13,Sheffield United,Manchester United,0,1,0,2,3,1.5,1.9,40,60,John Egan,5-3-2,12,6,0.5,0.625,15.8,1,0,0,Harry Maguire,4-2-3-1,15,8,0.5333333333333333,0.6666666666666666,18.4,1,0,0,Michael Oliver,2020-12-17,Thu,20:00
143,2021,15,Sheffield United,Everton,0,1,0,0,1,1.4,0.7,44,56,John Egan,3-4-3,10,1,0.1,0.6666666666666666,12.6,0,0,0,Gylfi Sigurðsson,4-2-3-1,7,3,0.4285714285714285,1.0,19.9,0,0,0,David Coote,2020-12-26,Sat,20:00
165,2021,18,Sheffield United,Newcastle United,1,0,0,1,0,2.1,0.6,65,35,John Egan,3-5-2,16,3,0.1875,1.0,17.0,0,1,1,Federico Fernández,5-4-1,7,3,0.4285714285714285,0.6666666666666666,22.6,2,0,0,Andy Madley,2021-01-12,Tue,18:00
176,2021,19,Sheffield United,Tottenham Hotspur,0,1,0,1,3,0.9,1.0,43,57,John Egan,3-5-2,15,5,0.3333333333333333,0.4,21.1,0,0,0,Hugo Lloris,3-4-3,14,5,0.3571428571428571,0.8,22.1,0,0,0,Andre Marriner,2021-01-17,Sun,14:00
