ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
5,2021,1,West Bromwich Albion,Leicester City,0,1,0,0,3,0.4,2.8,36,64,Jake Livermore,5-4-1,7,1,0.1428571428571428,0.4,18.4,1,0,0,Kasper Schmeichel,4-1-4-1,11,5,0.4545454545454545,1.0,19.3,1,2,2,Anthony Taylor,2020-09-13,Sun,14:00
25,2021,3,Manchester City,Leicester City,0,1,0,2,5,0.9,2.9,72,28,Fernandinho,4-2-3-1,16,5,0.3125,-0.25,19.8,1,0,0,Kasper Schmeichel,5-4-1,4,4,1.0,0.6,30.1,0,3,3,Michael Oliver,2020-09-27,Sun,16:30
56,2021,6,Arsenal,Leicester City,0,1,0,0,1,0.7,0.7,56,44,Pierre-Emerick Aubameyang,3-4-3,12,4,0.3333333333333333,0.5,15.0,1,0,0,Kasper Schmeichel,3-4-3,6,2,0.3333333333333333,1.0,29.5,1,0,0,Craig Pawson,2020-10-25,Sun,19:15
68,2021,7,Leeds United,Leicester City,0,1,0,1,4,2.1,2.9,67,33,Liam Cooper,4-1-4-1,11,4,0.3636363636363636,0.4285714285714285,18.0,0,0,0,Kasper Schmeichel,3-4-3,9,7,0.7777777777777778,0.75,14.9,0,1,1,Andre Marriner,2020-11-02,Mon,20:00
86,2021,9,Liverpool,Leicester City,1,0,0,3,0,3.1,1.6,56,44,James Milner,4-3-3,24,11,0.4583333333333333,1.0,12.7,0,0,0,Kasper Schmeichel,3-4-3,11,4,0.3636363636363636,0.7272727272727273,16.3,0,0,0,Chris Kavanagh,2020-11-22,Sun,19:15
104,2021,11,Sheffield United,Leicester City,0,1,0,1,2,0.2,1.4,31,69,John Egan,5-3-2,4,1,0.25,0.5,14.9,0,0,0,Kasper Schmeichel,3-4-3,13,4,0.3076923076923077,0.0,18.4,1,0,0,Stuart Attwell,2020-12-06,Sun,14:15
133,2021,14,Tottenham Hotspur,Leicester City,0,1,0,0,2,0.7,1.7,56,44,Hugo Lloris,4-2-3-1,8,3,0.375,0.3333333333333333,16.5,2,0,0,Kasper Schmeichel,4-2-3-1,16,3,0.1875,1.0,18.6,0,1,1,Craig Pawson,2020-12-20,Sun,14:15
148,2021,16,Crystal Palace,Leicester City,0,0,1,1,1,0.5,1.9,34,66,Luka Milivojević,4-4-2,4,1,0.25,0.5,10.1,0,0,0,Kasper Schmeichel,4-2-3-1,16,2,0.125,0.0,20.4,2,0,1,Graham Scott,2020-12-28,Mon,15:00
162,2021,17,Newcastle United,Leicester City,0,1,0,1,2,0.5,0.6,44,56,Federico Fernández,5-4-1,8,2,0.25,0.3333333333333333,15.1,0,0,0,Kasper Schmeichel,4-2-3-1,9,3,0.3333333333333333,0.5,20.2,0,0,0,Robert Jones,2021-01-03,Sun,14:15
193,2021,20,Everton,Leicester City,0,0,1,1,1,0.5,1.2,35,65,Lucas Digne,4-4-2,8,2,0.25,0.8333333333333334,15.0,0,0,0,Kasper Schmeichel,4-2-3-1,19,6,0.3157894736842105,0.5,21.4,2,0,0,Mike Dean,2021-01-27,Wed,20:15
211,2021,22,Fulham,Leicester City,0,1,0,0,2,0.6,1.4,57,43,Joachim Andersen,3-4-3,8,1,0.125,0.6,18.4,0,0,0,Kasper Schmeichel,4-2-3-1,9,5,0.5555555555555556,1.0,15.6,0,0,0,Robert Jones,2021-02-03,Wed,18:00
