ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
240,2021,25,Burnley,West Bromwich Albion,0,0,1,0,0,0.5,1.6,62,38,Ben Mee,4-4-2,6,1,18.9,1,0,0,Kyle Bartley,4-1-4-1,10,2,22.9,2,0,0,Mike Dean,2021-02-20,Sat,15:00
255,2021,26,Tottenham Hotspur,Burnley,1,0,0,4,0,2.1,0.7,58,42,Hugo Lloris,4-2-3-1,16,7,18.9,0,0,0,Ben Mee,4-4-2,10,3,19.3,0,0,0,Kevin Friend,2021-02-28,Sun,14:00
260,2021,29,Burnley,Leicester City,0,0,1,1,1,1.8,1.2,39,61,Ben Mee,4-4-2,12,7,18.0,1,0,0,Kasper Schmeichel,3-1-4-2,16,4,20.0,0,0,0,Andy Madley,2021-03-03,Wed,18:00
266,2021,27,Burnley,Arsenal,0,0,1,1,1,1.1,2.5,41,59,Ben Mee,4-4-2,9,5,18.2,0,0,0,Pierre-Emerick Aubameyang,4-2-3-1,15,2,15.5,0,0,0,Andre Marriner,2021-03-06,Sat,12:30
280,2021,28,Everton,Burnley,0,1,0,1,2,1.5,0.8,65,35,Lucas Digne,4-1-2-1-2◆,14,4,16.6,0,0,0,Ben Mee,4-4-2,14,5,19.1,1,0,0,Jonathan Moss,2021-03-13,Sat,17:30
295,2021,30,Southampton,Burnley,1,0,0,3,2,2.2,1.5,53,47,James Ward-Prowse,4-4-2,24,8,19.0,0,0,0,Ben Mee,4-4-2,6,4,16.7,0,1,1,Andre Marriner,2021-04-04,Sun,12:00
305,2021,31,Burnley,Newcastle United,0,1,0,1,2,2.0,1.2,56,44,Ben Mee,4-4-2,24,4,15.3,1,0,0,Jonjo Shelvey,5-3-2,10,4,12.7,0,0,0,Anthony Taylor,2021-04-11,Sun,12:00
315,2021,32,Manchester United,Burnley,1,0,0,3,1,2.5,0.9,69,31,Harry Maguire,4-2-3-1,17,8,12.9,0,0,0,Ben Mee,4-4-1-1,10,3,19.0,0,0,0,Jonathan Moss,2021-04-18,Sun,16:00
325,2021,33,Wolverhampton Wanderers,Burnley,0,1,0,0,4,0.4,2.0,58,42,Conor Coady,3-4-1-2,12,2,24.8,1,0,0,Ben Mee,4-4-2,14,7,18.8,0,0,0,Darren England,2021-04-25,Sun,12:00
337,2021,34,Burnley,West Ham United,0,1,0,1,2,2.0,2.3,45,55,Ben Mee,4-4-2,7,1,12.3,0,1,1,Aaron Cresswell,4-2-3-1,22,4,16.9,1,0,0,Anthony Taylor,2021-05-03,Mon,20:15
347,2021,35,Fulham,Burnley,0,1,0,0,2,1.0,1.5,68,32,Joachim Andersen,4-2-3-1,21,3,18.2,0,0,0,Ben Mee,4-4-2,14,5,14.6,0,0,0,David Coote,2021-05-10,Mon,20:00
354,2021,36,Burnley,Leeds United,0,1,0,0,4,1.3,1.5,48,52,Ben Mee,4-4-2,16,4,17.9,1,0,0,Luke Ayling,3-3-3-1,16,6,16.8,0,0,0,Graham Scott,2021-05-15,Sat,12:30
