ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
488,2022,11,Leeds United,Leicester City,0,0,1,1,1,1.3,0.7,56,44,Liam Cooper,4-2-3-1,18,5,17.7,1,0,0,Kasper Schmeichel,4-3-3,9,3,16.5,0,0,0,Darren England,2021-11-07,Sun,14:00
511,2022,14,Leeds United,Crystal Palace,1,0,0,1,0,1.4,1.1,61,39,Liam Cooper,4-1-4-1,14,2,20.1,0,1,1,Joel Ward,4-3-3,9,1,18.1,1,0,0,Kevin Friend,2021-11-30,Tue,20:15
526,2022,15,Leeds United,Brentford,0,0,1,2,2,1.2,1.0,63,37,Liam Cooper,3-4-3,13,6,17.3,0,0,0,Pontus Jansson,3-5-2,9,3,16.7,1,0,0,David Coote,2021-12-05,Sun,14:00
546,2022,18,Leeds United,Arsenal,0,1,0,1,4,1.6,3.5,51,49,Luke Ayling,4-2-3-1,8,1,24.8,0,1,1,Alexandre Lacazette,4-2-3-1,21,12,16.7,0,0,0,Andre Marriner,2021-12-18,Sat,17:30
569,2022,21,Leeds United,Burnley,1,0,0,3,1,1.9,1.0,55,45,Luke Ayling,3-4-3,22,7,18.9,0,0,0,Ben Mee,4-4-2,8,2,17.8,1,0,0,Paul Tierney,2022-01-02,Sun,14:00
587,2022,23,Leeds United,Newcastle United,0,1,0,0,1,0.7,0.9,62,38,Luke Ayling,4-2-3-1,13,4,16.1,0,0,0,Jamaal Lascelles,4-3-3,15,3,19.7,1,0,0,Chris Kavanagh,2022-01-22,Sat,15:00
623,2022,26,Leeds United,Manchester United,0,1,0,2,4,1.8,2.2,54,46,Luke Ayling,4-2-3-1,16,6,19.3,0,0,0,Harry Maguire,4-2-3-1,15,9,14.3,0,0,0,Paul Tierney,2022-02-20,Sun,14:00
630,2022,27,Leeds United,Tottenham Hotspur,0,1,0,0,4,1.5,1.9,50,50,Luke Ayling,4-1-4-1,19,2,18.0,1,0,0,Hugo Lloris,3-4-3,15,10,14.2,0,0,0,Craig Pawson,2022-02-26,Sat,12:30
651,2022,20,Leeds United,Aston Villa,0,1,0,0,3,0.2,1.5,51,49,Luke Ayling,4-2-3-1,4,1,22.5,0,0,0,Tyrone Mings,4-3-1-2,15,9,19.6,1,0,0,Simon Hooper,2022-03-10,Thu,19:45
659,2022,29,Leeds United,Norwich City,1,0,0,2,1,2.5,1.5,52,48,Luke Ayling,4-2-3-1,13,7,14.4,1,0,0,Ben Gibson,4-3-3,12,4,18.8,1,0,0,Stuart Attwell,2022-03-13,Sun,14:00
